"Please enter the CVV.","Por favor, preencha o campo 'Código de segurança'."
"Please enter the Expiration Year.","Por favor, preencha os campos de 'Validade'."
"Please enter the Expiration Month.","Por favor, preencha os campos de 'Validade'."
"Please enter the Debit Card Number.","Por favor, preencha o campo 'Número do cartão de crédito'."
"Please verify if you credit card is accepted by store.","Por favor, verifique se o seu cartão é aceito pela loja ou tente digitar novamente o número do cartão de crédito."
"Credit card type is not allowed for this payment method.","Bandeira de cartão não aceita, por favor tente outro cartão ou entre em contato conosco."
"Something went wrong, please try again later.","Ops, algo de errado aconteceu! Por favor, tente novamente mais tarde."
"Method is not a Getnet Debit payment method.","O método não é o meio de pagamento Crédito Getnet."
"Order was canceled: %s","O pedido foi cancelado: %s"
"payment was not finished on Getnet.","falha ao processar o pagamento na Getnet (pedido não foi finalizado)."
"Payment captured on Getnet.","Pagamento confirmado e finalizado na Getnet (capturado)."
"denied payment on Getnet.","pagamento bloqueado pela Getnet."
"voided payment on Getnet.","pagamento cancelado na Getnet."
"refunded payment on Getnet.","pagamento estornado/cancelado na Getnet."
"Pending: waiting for return from financial institution.","Pendente: esperando retorno da instituição financeira."
"payment canceled for processing failure.","pagamento cancelado por falha no processamento."
"Still processing order on Getnet.","Ainda processando o pedido na Getnet."
"Getnet not finished","Falha ao processar o pagamento."
"Getnet authorized","Pagamento autorizado pela operadora, aguardando captura pela loja."
"Getnet payment confirmed","Pagamento confirmado e finalizado."
"Getnet denied","Transação não autorizada."
"Getnet voided","Pagamento cancelado."
"Getnet refunded","Pagamento Cancelado/Estornado."
"Getnet pending","Esperando retorno da instituição financeira."
"Getnet aborted","Pagamento cancelado por falha no processamento."
"CreditCard Owner: %s","Nome no cartão: %s"
"Status on the credit card carrier: %s","Status na operadora do cartão: %s"
"CreditCard Brand: %s","Bandeira: %s"
"No status yet.","Sem status ainda."
"Payment ID: %s","Id Pagamento: %s"
"Some error occurred during a validation of your card with your carrier.","Algum erro ocorreu durante a validação do seu cartão com sua operadora."
"The payment deadline has expired.","O tempo limite para o pagamento foi atingido."
"Instructions,"Instruções"
"Message displayed at the checkout next to the order button, informing instructions to the customer.","Mensagem exibida no checkout próximo ao botão efetuar pedido, informando instruções para o cliente."
"Getnet erro code is: %s","Código de erro da Getnet: %s"
"Credit Card Types","Bandeiras"
"Instructions","Instruções"
"Environment","Ambiente"
"version:","versão:"
"Status on payment approve","Status para pagamento aprovado"
"CreditCard Installments: %s","Número de parcelas: %s"
"Installments","Parcelas"
"%1x of %2 no taxes","%1x de %2 sem juros"
"Maximum number of installments","Número máximo de parcelas"
"Minimum amount to enable installment","Valor mínimo da parcela"
"If you want to: <br/> - do not have minimum amount to install, report 0. <br/> - install from a minimum. Ex: Authorizing 6 installments and informing 100, means that from $ 100 you accept installments up to 6 times.","Caso você queira:<br/>- não ter valor mínimo para parcelar, informe 0.<br/>- parcelar a partir de um valor mínimo. Ex: Autorizando 6 parcelas e informando 100, significa que a partir de R$ 100 você aceita parcelamento em até 6 vezes."
"Payment Action","Ação de Pagamento"
"Authorize","Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"Transaction not authorized. Cod: %s","Transação não autorizada. Cód: %s"
"To configure access:","Para configurar acesse:"
"Error message","Mensagem de erro"
"Test Mode Enabled","Modo Teste Ativo"
"Homologation Mode Enabled","Modo de Homologação Ativo"
"Create a product with the following SKU: getnet_test, when on homologation mode the payment method will only be available when this product is added to the shopping cart","Crie um produto com o SKU getnet_test, se o modo homologação estiver ativo o método de pagamento apenas estará disponível quando este produto for adicionado ao carrinho de compras"
"Sandbox","Ambiente de Teste (Sandbox)"
"Production","Ambiente de Produção"
"Merchant IDs","Merchant ID"
"Display model","Modelo de exibição"
"Layout default","Layout Padrão"
"Layout custom","Exibir Cartão ao Digitar"
"Enabled save credit card","Habilitar historico de cartões"
"Note: We will not store the security code.","Obs.: Não iremos armazenar o código de segurança."
"Do you want to save this card","Deseja armazenar os dados desse cartão para compras futuras?"
"Fill in the fields on the card","Preencha os campos do cartão"
